name,first-order,unsatisfiable,well-formed,unique names,vampire solution result,vampire solution time (ms),vampire TSTP size (bytes),vampire compilation result,vampire compilation time (ms),vampire TESC size (bytes),vampire VTV verification result,vampire VTV verification time (ms),vampire VTV verification memory (kb),vampire OTV verification result,vampire OTV verification time (ms),vampire OTV verification memory (kb),eprover solution result,eprover solution time (ms),eprover TSTP size (bytes),eprover compilation result,eprover compilation time (ms),eprover TESC size (bytes),eprover VTV verification result,eprover VTV verification time (ms),eprover VTV verification memory (kb),eprover OTV verification result,eprover OTV verification time (ms),eprover OTV verification memory (kb)
AGT001+1,yes,yes,yes,yes,success,15,1363,success,100,769,success,60,14764,success,30,14800,success,39,42247,success,96,1619,success,50,14612,success,30,14724
AGT001+2,yes,yes,yes,yes,success,150,1365,success,118,769,success,60,16000,success,30,14724,success,38,61605,success,118,1619,success,70,16768,success,30,14676
AGT002+1,yes,yes,yes,yes,success,15,1446,success,93,868,success,60,14664,success,30,14576,success,33,47161,success,92,2171,success,50,14640,success,30,14656
AGT002+2,yes,yes,yes,yes,success,117,1448,success,120,868,success,80,16148,success,30,14600,success,37,64825,success,119,2171,success,70,17620,success,30,14680
AGT003+1,yes,yes,yes,yes,success,25,4632,success,105,5997,success,40,14648,success,30,14592,success,157,107163,success,115,10868,success,60,14628,success,40,14704
AGT003+2,yes,yes,yes,yes,success,30,3655,success,122,4152,success,80,17864,success,30,14764,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT004+1,yes,yes,yes,yes,success,19,4911,success,102,5755,success,60,14636,success,30,14712,success,32,44833,success,111,10499,success,50,14712,success,40,14660
AGT004+2,yes,yes,yes,yes,success,22,2395,success,120,2813,success,70,17632,success,30,14656,success,38,62357,success,122,5852,success,70,17692,success,30,14632
AGT005+1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT005+2,yes,yes,yes,yes,success,144,3655,success,123,4152,success,60,17872,success,30,14816,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT006+1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT006+2,yes,yes,yes,yes,success,58257,20263,success,242,26770,success,70,18564,success,40,14652,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT007+1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT007+2,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT008+1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT008+2,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT009+1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT009+2,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT010+1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT010+2,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT011+1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT011+2,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT012+1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT012+2,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT013+1,yes,yes,yes,yes,success,59458,34978,success,270,49243,success,70,14556,success,40,14668,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT013+2,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT014+1,yes,yes,yes,yes,success,31,6329,success,103,8377,success,50,14528,success,40,14812,success,29,27707,success,114,16223,success,60,14624,success,30,14640
AGT014+2,yes,yes,yes,yes,success,36,3844,success,123,5466,success,60,16364,success,40,14644,success,31,6159,success,133,12053,success,70,16676,success,30,14676
AGT015+1,yes,yes,yes,yes,success,19,3709,success,95,3440,success,50,14636,success,30,14760,success,29,28231,success,102,5581,success,60,14712,success,40,14664
AGT015+2,yes,yes,yes,yes,success,20,1238,success,114,602,success,80,16068,success,40,14688,success,31,3914,success,117,1249,success,70,17404,success,40,14724
AGT016+1,yes,yes,yes,yes,success,35,6896,success,105,9035,success,50,14752,success,40,14676,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT016+2,yes,yes,yes,yes,success,120,5358,success,125,6708,success,70,16564,success,30,14672,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT017+1,yes,yes,yes,yes,success,20,3874,success,96,3532,success,50,14664,success,30,14804,success,29,27103,success,101,5519,success,50,14668,success,30,14548
AGT017+2,yes,yes,yes,yes,success,20,1412,success,115,710,success,70,15520,success,30,14704,success,30,4253,success,118,1626,success,70,16224,success,40,14656
AGT018+1,yes,yes,yes,yes,success,45512,20656,success,219,27001,success,60,14556,success,40,14712,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT018+2,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT019+1,yes,yes,yes,yes,success,55878,20168,success,219,26649,success,60,14652,success,30,14708,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT019+2,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT020+1,yes,yes,yes,yes,success,45762,20014,success,220,26243,success,60,14748,success,30,14580,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT020+2,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT021+1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT021+2,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT022+1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT022+2,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT023+1,yes,yes,yes,yes,success,55686,17846,success,210,24923,success,50,14580,success,30,14808,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT023+2,yes,yes,yes,yes,success,58710,12014,success,152,15974,success,80,16552,success,40,14804,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT024+1,yes,yes,yes,yes,success,58273,26256,success,240,36040,success,60,14596,success,40,14676,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT024+2,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT025+1,yes,yes,yes,yes,success,55395,26631,success,241,35803,success,60,14648,success,40,14664,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT025+2,yes,yes,yes,yes,success,54999,21698,success,243,28212,success,80,20012,success,40,14724,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT026+1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT026+2,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT027^1,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT027^2,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT028^1,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT028^2,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT029^1,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT030^1,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT031^1,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT031^2,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT032^1,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT032^2,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT033^1,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT033^2,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT034^1,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT034^2,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT035^1,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT035^2,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT036^1,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT037^1,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT037^2,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT038^1,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT039^1,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT040^1,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT041^1,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT042+1,yes,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGT042-10,yes,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG001-1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG001-2,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG001-3,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG001^5,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG002-1,yes,yes,yes,yes,success,132,7066,success,131,7635,success,40,14716,success,30,14804,success,97,67602,success,118,28694,success,30,14660,success,30,14676
ALG003-1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG004-1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG005-1,yes,yes,yes,yes,success,126,19269,success,232,163616,success,100,24588,success,40,14648,success,129,23487,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG006-1,yes,yes,yes,yes,success,376,11020,success,154,81433,success,50,14664,success,20,14664,success,24,10836,success,3741,46825,success,40,14708,success,30,14644
ALG007-1,yes,yes,yes,yes,success,4457,11568,success,161,91346,success,60,16940,success,30,14648,success,33,11768,success,237,48271,success,40,14596,success,40,14652
ALG008-1,yes,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG008-10,yes,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG009-1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG010-1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG011-1,yes,yes,yes,yes,success,7,4137,success,131,7492,success,30,14664,success,30,14724,success,18,7629,success,72,6904,success,30,14580,success,30,14672
ALG012-1,yes,yes,yes,yes,success,1235,19293,success,356,44776,success,40,14664,success,30,14648,success,5680,110861,success,321,72113,success,60,14660,success,30,14720
ALG013-1,yes,yes,yes,yes,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG014+1,yes,yes,yes,yes,success,9,11626,success,195,32970,success,40,14768,success,40,14652,success,20,6126,success,74,10281,success,30,14716,success,30,14676
ALG014^7,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG015+1,yes,yes,yes,yes,success,206,160821,success,2361,495073,success,250,66668,success,70,14712,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG015^7,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG016+1,yes,yes,yes,yes,success,196,107684,success,2090,359450,success,200,49164,success,50,14704,success,84,125888,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG016^7,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG017+1,yes,yes,yes,yes,success,8,11343,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,success,20,6002,success,68,8723,success,30,14664,success,30,14640
ALG017^7,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG018+1,yes,yes,yes,yes,success,107,7936,success,143,11911,success,30,14596,success,30,14672,success,18,9130,success,90,14907,success,40,14612,success,30,14660
ALG018^7,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG019+1,yes,yes,yes,yes,success,173,8070,success,143,11987,success,30,14628,success,30,14692,success,18,9133,success,91,14920,success,20,14696,success,30,14616
ALG020+1,yes,yes,yes,yes,success,152,21249,success,379,63292,success,40,14664,success,30,14648,success,23,26143,success,227,77489,success,50,14720,success,30,14648
ALG020^7,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG021+1,yes,yes,yes,yes,success,32,505507,success,14980,1511024,success,630,189552,success,120,25744,success,109,239999,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG021^7,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG022+1,yes,yes,yes,yes,success,109,521227,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,success,110,242395,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG022^7,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG023+1,yes,yes,yes,yes,success,135,31944,success,478,84742,success,60,15172,success,40,14576,success,16385,2349069,success,2423,787305,success,330,108220,success,80,14600
ALG023^7,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG024+1,yes,yes,yes,yes,success,180,113119,success,1214,434957,success,210,57468,success,60,14632,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG025+1,yes,yes,yes,yes,success,23,16750,success,362,75232,success,70,15512,success,40,14720,success,46,54045,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG026+1,yes,yes,yes,yes,success,266,327514,success,24283,1150766,success,560,146184,success,120,16664,success,1090,610773,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG027+1,yes,yes,yes,yes,success,563,634266,success,29510,2016459,success,980,259320,success,190,29668,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG028+1,yes,yes,yes,yes,success,96,14498,success,372,36059,success,60,14584,success,30,14648,success,209,180393,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG029+1,yes,yes,yes,yes,success,9,7642,success,140,11000,success,20,14640,success,30,14660,success,20,10484,success,103,16600,success,30,14708,success,30,14636
ALG030+1,yes,yes,yes,yes,success,125,8287,success,142,11334,success,30,14600,success,30,14648,success,20,10490,success,102,16557,success,40,14612,success,30,14628
ALG030-10,yes,yes,yes,yes,success,96,8729,success,125,79055,success,60,14584,success,30,14656,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG031+1,yes,yes,yes,yes,success,203,39772,success,1000,126018,success,70,20172,success,40,14756,success,37,61133,success,805,214088,success,120,35952,success,40,14636
ALG032+1,yes,yes,yes,yes,success,315,4758353,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,success,430,531466,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG033+1,yes,yes,yes,yes,success,311,4495166,success,333039,12812677,success,5100,1709768,success,730,224040,success,429,503409,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG034+1,yes,yes,yes,yes,success,3028,2788367,success,35072,17740729,success,7990,2212104,success,1410,59500,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG035+1,yes,yes,yes,yes,success,2169,2047384,success,36764,15881075,success,7820,2025344,success,1180,39188,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG036+1,yes,yes,yes,yes,success,111,11595,success,193,32817,success,40,14668,success,30,14652,success,19,6061,success,74,10273,success,40,14584,success,30,14600
ALG037+1,yes,yes,yes,yes,success,57,148427,success,2290,434333,success,190,65692,success,60,14732,success,415,247078,success,5611,3751829,success,1340,443672,success,270,32304
ALG038+1,yes,yes,yes,yes,success,86,105393,success,2099,333114,success,180,45236,success,50,14676,success,18117,1165321,success,6287,2928999,success,1080,364776,success,240,26236
ALG039+1,yes,yes,yes,yes,success,80,11337,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,success,19,5866,success,67,9236,success,30,14528,success,30,14672
ALG040+1,yes,yes,yes,yes,success,45,7936,success,140,11911,success,40,14616,success,20,14652,success,18,9130,success,89,14907,success,30,14600,success,20,14552
ALG041+1,yes,yes,yes,yes,success,51,8070,success,141,11987,success,30,14608,success,30,14708,success,18,9133,success,91,14920,success,30,14648,success,30,14676
ALG042+1,yes,yes,yes,yes,success,121,21249,success,384,63292,success,50,14668,success,40,14708,success,23,26143,success,227,77489,success,60,14712,success,40,14596
ALG043+1,yes,yes,yes,yes,success,11,62754,success,838,216067,success,120,36000,success,40,14580,success,40,136006,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG044+1,yes,yes,yes,yes,success,123,69778,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,success,41,138582,failure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG045+1,yes,yes,yes,yes,success,98,31639,success,497,98553,success,70,17580,success,30,14648,success,264,203355,success,721,335136,success,150,45216,success,50,14732
